,title,rating,aftertaste,aroma,body,flavor,blind_assessment,coffee_origin,est_price,roast_level,roaster,roaster_location,dollars_per_ounce
0,Bolivia Manantial Gesha,93,8.0,9,8,9,"['richly', 'aromatic', 'floral-toned', 'magnolia', 'cocoa', 'nib', 'cane', 'sugar', 'red', 'plum', 'nutmeg', 'in', 'aroma', 'and', 'cup', 'elegantly', 'sweet', 'structure', 'with', 'delicate', 'bright', 'acidity;', 'silky', 'vibrant', 'mouthfeel', 'flavor-saturated', 'finish', 'centered', 'around', 'notes', 'of', 'magnolia', 'and', 'cocoa', 'nib', 'complicated', 'by', 'undertones', 'of', 'nutmeg', '']","Caranavi, Bolivia",30.00/12 ounces,Medium-Light,Red Rooster Coffee Roaster,"Floyd, Virginia",2.5
1,Ethiopia Gera Genji Challa,94,8.0,9,9,9,"['delicately', 'aromatic', 'complex', 'lilac', 'cocoa', 'nib', 'pink', 'grapefruit', 'zest', 'shishito', 'pepper', 'apricot', 'in', 'aroma', 'and', 'cup', 'sweetly', 'tart', 'with', 'juicy', 'bright', 'acidity;', 'plush', 'syrupy-smooth', 'mouthfeel', 'floral', 'finish', 'with', 'cocoa', 'undertones']","Agaro Gera, Jimma Zone, Oromia State, Ethiopia",28.00/12 ounces,Medium-Light,Mostra Coffee,"San Diego, California",2.333333333333333
2,Yirgacheffe Mengesha Natural,94,8.0,9,9,9,"['high-toned', 'fruit-driven', 'boysenberry', 'pear', 'cocoa', 'nib', 'tangerine', 'zest', 'pink', 'peppercorn', 'in', 'aroma', 'and', 'cup', 'sweetly', 'tart', 'structure', 'with', 'juicy-bright', 'acidity;', 'crisp', 'velvety', 'mouthfeel', 'the', 'finish', 'consolidates', 'to', 'notes', 'of', 'boysenberry', 'and', 'tangerine', 'zest', 'with', 'undertones', 'of', 'pink', 'peppercorn']","Yirgacheffe growing region, southern Ethiopia",20.50/12 ounces,Medium-Light,Regent Coffee,"Glendale, California",1.7083333333333333
3,Tropical Summer Colombia La Sierra,93,8.0,9,8,9,"['fruit-driven', 'crisply', 'chocolaty', 'goji', 'berry', 'dried', 'plum', 'baking', 'chocolate', 'amber', 'narcissus', 'in', 'aroma', 'and', 'cup', 'crisply', 'sweet', 'structure', 'with', 'balanced', 'acidity;', 'lightly', 'satiny', 'mouthfeel', 'fruit-toned', 'finish', 'supported', 'by', 'notes', 'of', 'baking', 'chocolate']","La Sierra, Cauca Department, Colombia",18.99/8 ounces,Medium-Light,Merge Coffee Company,"Harrisonburg, Virginia",2.37375
4,Tinamit Tolimán,93,8.0,9,9,9,"['deeply', 'sweet-tart', 'chocolate-toned', 'dark', 'chocolate', 'pomegranate', 'praline', 'magnolia', 'a', 'hint', 'of', 'marjoram', 'in', 'aroma', 'and', 'cup', 'sweet-tart', 'structure', 'with', 'brisk', 'acidity;', 'very', 'full', 'syrupy', 'mouthfeel', 'the', 'finish', 'consolidates', 'to', 'dark', 'chocolate', 'with', 'undertones', 'of', 'praline', 'and', 'magnolia\n']","San Lucas Tolimán, Lake Atitlán growing region, Guatemala",16.00/12 ounces,Medium-Light,El Gran Cafe,"Antigua, Guatemala",1.3333333333333333
5,Ethiopia Bekele Heto Natural,93,8.0,9,9,9,"['berry-driven', 'invitingly', 'sweet-tart', 'dried', 'mulberry', 'cocoa', 'nib', 'pink', 'grapefruit', 'zest', 'tea', 'rose', 'fresh-cut', 'oak', 'in', 'aroma', 'and', 'cup', 'sweet-toned', 'structure', 'with', 'brisk', 'acidity;', 'plush', 'syrupy', 'mouthfeel', 'the', 'long', 'lingering', 'finish', 'consolidates', 'to', 'notes', 'of', 'cocoa-toned', 'mulberry', 'and', 'oak']","Worka-Sakaro, Gedeb District, Gedeo Zone, Ethiopia",8.40/4 ounces,Light,Bassline Coffee,"Oakland, California",2.1
6,Guatemala Los Santos,93,8.0,9,8,9,"['crisply', 'sweet-tart', 'richly', 'nut-toned', 'pomegranate', 'baking', 'chocolate', 'hazelnut', 'lime', 'zest', 'cedar', 'in', 'aroma', 'and', 'cup', 'sweet-tart', 'structure', 'with', 'gently', 'bright', 'balanced', 'acidity;', 'crisp', 'satiny', 'mouthfeel', 'quiet', 'finish', 'centered', 'around', 'sweet', 'nut', 'and', 'chocolate', 'tones']","Chimaltenango, Guatemala",22.00/12 ounces,Medium-Light,Temple Coffee,"Sacramento, California",1.8333333333333333
7,Colombia Pink Bourbon Filadelfia,95,9.0,9,9,9,"['intricate', 'vibrantly', 'floral', 'citrusy', 'lilac', 'tangerine', 'almond', 'brittle', 'sage', 'wild', 'honey', 'in', 'aroma', 'and', 'cup', 'high-toned', 'harmonious', 'structure', 'with', 'elegantly', 'juicy', 'acidity;', 'full', 'creamy', 'mouthfeel', 'flavor-saturated', 'very', 'long', 'finish', '']","Huila Department, Colombia",26.00/10 ounces,Light,Bird Rock Coffee Roasters,"San Diego, California",2.6
8,Papua New Guinea Timuza Organic,92,8.0,9,9,8,"['balanced', 'classic', 'sweetly', 'bright', 'blood', 'orange', 'fresh-cut', 'cedar', 'almond', 'brittle', 'quietly', 'complex', 'flowers', '—', 'freesia', 'lavender', '—', 'in', 'aroma', 'and', 'cup', 'crisp', 'sweet-tart', 'structure', 'with', 'smoothly', 'bright', 'acidity', 'plush', 'lightly', 'viscous', 'mouthfeel', 'sweet', 'almond', 'and', 'fresh', 'cedar', 'carry', 'the', 'rich', 'gently', 'drying', 'finish']","Eastern Highlands, Papua New Guinea",17.00/12 ounces,Light,Magnolia Coffee,"Charlotte, North Carolina",1.4166666666666667
9,Ethiopia Durato Bombe,95,9.0,10,9,9,"['massively', 'floral', 'juicy', 'cocoa-toned', 'distinct', 'cocoa', 'honeysuckle', 'tangerine', 'caramel', 'cashew', 'in', 'aroma', 'and', 'cup', 'deeply', 'sweet', 'savory-edged', 'in', 'structure', 'with', 'deep', 'vibrant', 'acidity', 'full', 'syrupy', 'mouthfeel', 'the', 'finish', 'is', 'sweet', 'and', 'rich', 'carrying', 'most', 'notes', 'from', 'the', 'cup', 'far', 'into', 'the', 'long', '']","Sidamo growing region, southern Ethiopia",24.00/12 ounces,Light,Per’la Specialty Roasters,"Miami, Florida",2.0
10,Philippines Sitio Kisbong Anaerobic Natural,92,7.0,9,9,9,"['gently', 'tart', 'sweetly', 'herbaceous', 'orange', 'zest', 'pomegranate', 'cocoa', 'nib', 'goat', 'milk', 'yogurt', 'cedar', 'in', 'aroma', 'and', 'cup', 'sweet-tart', 'structure', 'with', 'tangy', 'acidity;', 'full', 'syrupy-smooth', 'mouthfeel', 'the', 'gently', 'drying', 'finish', 'centers', 'around', 'notes', 'of', 'orange', 'zest', 'and', 'cedar']","Atok Benguet, northern Philippines",17.50/6 ounces,Medium-Light,Mostra Coffee,"San Diego, California",2.9166666666666665
11,Colombia Sergio Roldan,93,8.0,9,9,9,"['sweetly', 'tart', 'chocolaty', 'pomegranate', 'baking', 'chocolate', 'orange', 'zest', 'almond', 'oak', 'in', 'aroma', 'and', 'cup', 'tart-leaning', 'structure', 'with', 'brisk', 'acidity;', 'plush', 'chewy', 'mouthfeel', 'crisply', 'chocolaty', 'finish', 'with', 'undertones', 'of', 'pomegranate', 'and', 'almond']","Urrao, Antioquia, Colombia",25.00/12 ounces,Medium-Light,Mostra Coffee,"San Diego,  California",2.083333333333333
12,Colombia Antioquia Magico,94,8.0,9,9,9,"['richly', 'chocolaty', 'sweetly', 'tart', 'nectarine', 'dark', 'chocolate', 'lemon', 'verbena', 'lavender', 'fresh-cut', 'oak', 'in', 'aroma', 'and', 'cup', 'sweet', 'structure', 'with', 'high-toned', 'acidity;', 'very', 'full', 'satiny-smooth', 'mouthfeel', 'crisply', 'sweet', 'chocolaty', 'finish', 'with', 'undertones', 'of', 'lemon', 'verbena', 'and', 'a', 'hint', 'of', 'lavender']","Urrao, Antioquia Department, Colombia",19.00/6 ounces,Light,Paradise Roasters,"Minneapolis, Minnesota",3.1666666666666665
13,Chelchele Ethiopia,94,8.0,9,9,9,"['elegant', 'delicately', 'aromatic', 'floral', 'honeysuckle', 'cocoa', 'nib', 'pink', 'peppercorn', 'red', 'plum', 'pomelo', 'in', 'aroma', 'and', 'cup', 'sweetly', 'tart', 'with', 'juicy', 'balanced', 'acidity;', 'plush', 'syrupy-smooth', 'mouthfeel', 'floral-', 'and', 'cocoa-toned', 'finish']","Gedeb District, Gedeo Zone, southern Ethiopia",19.00/12 ounces,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin",1.5833333333333333
14,Hawaii Ka‘ū Bourbon Anaerobic Natural,95,9.0,9,9,9,"['richly', 'sweet-tart', 'floral', 'and', 'fruit-driven', 'mango', 'cocoa', 'nib', 'ginger', 'blossom', 'lime', 'zest', 'cedar', 'in', 'aroma', 'and', 'cup', 'balanced', 'tart-leaning', 'structure', 'with', 'vibrant', 'juicy', 'acidity;', 'lightly', 'viscous', 'silky', 'mouthfeel', 'long', 'flavor-saturated', 'finish', 'centered', 'around', 'fruit', 'and', 'florals']","Ka‘ū growing region, Big Island of Hawai’i",30.00/4 ounces,Medium-Light,Paradise Roasters,"Minneapolis, Minnesota",7.5
15,Trident Carmo de Minas,90,7.0,8,8,9,"['sweetly', 'nut-toned', 'cashew', 'caramel', 'cedar', 'orange', 'zest', 'lily', 'in', 'aroma', 'and', 'cup', 'sweet', 'structure', 'with', 'brisk', 'acidity;', 'lightly', 'satiny', 'mouthfeel', 'the', 'finish', 'centers', 'around', 'notes', 'of', 'cashew', 'and', 'cedar', 'with', 'caramel', 'undertones']","Carmo de Minas growing region, northeastern Minas Gerais State, Brazil",17.95/12 ounces,Medium-Light,Trident Coffee,"San Diego, California",1.4958333333333331
16,Dreadnaught Espresso,92,8.0,8,8,9,"['evaluated', 'as', 'espresso', 'chocolaty', 'roast-rounded', 'cocoa', 'powder', 'date', 'salted', 'caramel', 'gardenia', 'fresh-cut', 'fir', 'in', 'aroma', 'and', 'small', 'cup', 'crisp', 'velvety', 'mouthfeel;', 'sweet', 'chocolaty', 'and', 'wood-framed', 'finish', 'in', 'three', 'parts', 'milk', 'both', 'chocolate', 'and', 'floral', 'notes', 'bloom', 'with', 'undertones', 'of', 'date', 'and', 'gardenia']","Cajamarca region, Peru",17.95/12 ounces,Medium,Trident Coffee,"San Diego, California",1.4958333333333331
17,Dark Texas Twist,91,7.0,8,9,9,"['sweetly', 'roast-toned', 'richly', 'chocolaty', 'baking', 'chocolate', 'scorched', 'mesquite', 'lily', 'almond', 'brittle', 'date', 'in', 'aroma', 'and', 'cup', 'bittersweet', 'structure', 'with', 'creamy', 'mouthfeel;', 'the', 'crisp', 'gently', 'drying', 'finish', 'centers', 'on', 'notes', 'of', 'baking', 'chocolate', 'lily', 'and', 'mesquite']",Ethiopia; Sumatra,18.99/16 ounces,Medium,Brand 425,"Kountze, Texas",1.186875
18,El Salvador Finca La Esperanza,94,8.0,9,9,9,"['gently', 'sweet-tart', 'multi-layered', 'dried', 'raspberry', 'honeysuckle', 'almond', 'butter', 'cocoa', 'nib', 'honey', 'in', 'aroma', 'and', 'cup', 'sweet-tart', 'structure', 'with', 'winey', 'acidity;', 'full', 'syrupy', 'mouthfeel', 'finish', 'consolidates', 'to', 'notes', 'of', 'almond', 'butter', 'and', 'cocoa', 'nib', 'with', 'undertones', 'of', 'dried', 'raspberry', '']","Apaneca-Ilamatepec, El Salvador",14.00/230 grams,Medium-Light,Interpretation Coffee,"Chia-Yi, Taiwan",1.7256232421137665
19,Philippines Sitio Belis Garnica,93,8.0,9,8,9,"['balanced', 'richly', 'sweet-tart', 'apricot', 'cocoa', 'nib', 'almond', 'lemon', 'verbena', 'cedar', 'in', 'aroma', 'and', 'cup', 'sweet', 'structure', 'with', 'bright', 'juicy', 'acidity;', 'crisp', 'satiny', 'mouthfeel', 'the', 'finish', 'consolidates', 'to', 'notes', 'of', 'cocoa-toned', 'almond', 'and', 'lemon', 'verbena']","Atok Benguet, northern Philippines",30.00/12 ounces,Medium-Light,Mostra Coffee,"San Diego, California",2.5
20,Guatemala El Milagro Bourbon Especial,95,9.0,9,9,9,"['high-toned', 'chocolaty', 'and', 'richly', 'aromatic', 'malted', 'chocolate', 'black', 'cherry', 'cashew', 'butter', 'pink', 'grapefruit', 'toffee', 'in', 'aroma', 'and', 'cup', 'brightly', 'sweet', 'structure', 'with', 'lively', 'but', 'restrained', 'acidity;', 'plush', 'creamy', 'mouthfeel', 'the', 'integrated', 'finish', 'carries', 'over', 'all', 'the', 'aroma', 'and', 'flavor', 'notes', 'from', 'the', 'cup']","Huehuetenango, Guatemala",28.00/12 ounces,Medium-Light,PT's Coffee Roasting Co.,"Topeka, Kansas",2.333333333333333
21,Ethiopia Dur Feres,91,8.0,8,8,9,"['gently', 'fruit-toned', 'richly', 'wood-framed', 'pie', 'cherry', 'balsa', 'wood', 'maple', 'syrup', 'lemon', 'balm', 'grapefruit', 'zest', 'in', 'aroma', 'and', 'cup', 'sweet', 'structure', 'with', 'gentle', 'round', 'acidity;', 'crisp', 'silky', 'mouthfeel', 'wood-framed', 'finish', 'with', 'tart', 'cherry', 'and', 'grapefruit', 'suggestions']","Guji Zone, Oromia Region, southern Ethiopia",22.00/12 ounces,Light,Drink Coffee Do Stuff,"Truckee, California",1.8333333333333333
22,El Salvador Las Delicias Pacamara,92,8.0,8,8,9,"['crisply', 'chocolaty', 'rich-toned', 'baking', 'chocolate', 'pomegranate', 'gingerbread', 'meyer', 'lemon', 'zest', 'pink', 'peppercorn', 'in', 'aroma', 'and', 'cup', 'savory-sweet', 'structure', 'with', 'bright', 'lively', 'acidity;', 'crisp', 'yet', 'velvety', 'mouthfeel', 'the', 'finish', 'consolidates', 'to', 'notes', 'of', 'pomegranate', 'and', 'pink', 'peppercorn']","Atiquizaya, Apaneca-Ilamatepec Mountains, El Salvador",19.00/12 ounces,Medium-Light,Backporch Coffee Roasters,"Bend, Oregon",1.5833333333333333
23,Ethiopia Guji Kercha G2,92,8.0,9,8,9,"['delicately', 'sweet-tart', 'green', 'grape', 'cocoa', 'powder', 'bay', 'leaf', 'fresh-cut', 'fir', 'brown', 'sugar', 'in', 'aroma', 'and', 'cup', 'sweet-tart', 'structure', 'with', 'brisk', 'acidity;', 'crisp', 'velvety', 'mouthfeel', 'the', 'gently', 'drying', 'finish', 'leads', 'with', 'notes', 'of', 'cocoa', 'powder', 'and', 'brown', 'sugar', 'with', 'hints', 'of', 'sweet', 'herbs', 'in', 'the', 'long']","Guji Zone, Oromia Region, Southern Ethiopia",20.00/12 ounces,Medium-Light,Breck Coffee Roasters,"Breckenridge, Colorado",1.6666666666666667
24,Tanzania Peaberry,92,8.0,8,8,9,"['sweet-toned', 'pleasingly', 'floral', 'baking', 'chocolate', 'honeysuckle', 'hazelnut', 'fresh-cut', 'fir', 'cane', 'sugar', 'in', 'aroma', 'and', 'cup', 'sweet', 'structure', 'with', 'brisk', 'acidity;', 'full', 'velvety', 'mouthfeel', 'crisp', 'sweet', 'wood-framed', 'finish', 'with', 'undertones', 'of', 'baking', 'chocolate', 'and', 'hazelnut']",Tanzania,21.00/12 ounces,Medium-Light,Pink Elephant Coffee,"Park City, Utah",1.75
25,Glow Seasonal Reserve Blend,92,8.0,9,8,9,"['sweetly-tart', 'fruit-toned', 'dried', 'raspberry', 'baking', 'chocolate', 'clove', 'lime', 'zest', 'fresh-cut', 'oak', 'in', 'aroma', 'and', 'cup', 'sweet-tart', 'structure', 'with', 'brisk', 'acidity;', 'lightly', 'satiny', 'mouthfeel', 'spice-toned', 'finish', 'with', 'undercurrents', 'of', 'berries', 'and', 'crisp', 'chocolate']",Ethiopia,19.00/12 ounces,Light,Big Creek Coffee Roasters,"Hamilton, Montana",1.5833333333333333
26,Kenya Muiri Estate Peaberry,92,8.0,9,8,9,"['balanced', 'deeply', 'sweet', 'black', 'currant', 'ginger', 'blossom', 'orange', 'zest', 'cedar', 'cocoa', 'nib', 'in', 'aroma', 'and', 'cup', 'sweet-toned', 'structure', 'with', 'malic', '(green', 'apple-like)', 'acidity;', 'delicately', 'satiny', 'mouthfeel', 'the', 'finish', 'leads', 'with', 'notes', 'of', 'cocoa', 'nib', 'and', 'cedar']","Kiambu County, Kenya",24.00/12 ounces,Medium-Light,Noble Coffee,"Ashland, Oregon",2.0
27,Kenya Gaturiri AA,93,8.0,9,8,9,"['richly', 'and', 'brightly', 'sweet-savory', 'raspberry', 'lemon', 'verbena', 'cocoa', 'nib', 'cedar', 'pink', 'grapefruit', 'zest', 'in', 'aroma', 'and', 'cup', 'complex', 'bittersweet', 'structure', 'with', 'juicy', 'acidity;', 'lightly', 'satiny', 'mouthfeel', 'the', 'finish', 'consolidates', 'to', 'notes', 'of', 'cocoa', 'nib', 'and', 'pink', 'grapefruit', 'zest']","Nyeri County, Kenya",22.00/10 ounces,Light,Color Coffee,"Eagle, Colorado",2.2
28,Ethiopia Guji Odo Shakiso,93,8.0,9,9,9,"['sweetly-fruit-forward', 'just-picked', 'blueberry', 'honeycomb', 'cashew', 'butter', 'marjoram', 'baking', 'chocolate', 'in', 'aroma', 'and', 'cup', 'sweet-toned', 'structure', 'with', 'pert', 'acidity;', 'pillowy', 'creamy-smooth', 'mouthfeel', 'the', 'finish', 'is', 'centered', 'around', 'notes', 'of', 'honey', 'and', 'cashew']","Guji Zone, Oromia Region, Southern Ethiopia",20.00/12 ounces,Light,Nomadic Bean,"Jackson Hole, Wyoming",1.6666666666666667
29,Kenya Karinga AA,93,8.0,9,8,9,"['confident', 'juicy-bright', 'black', 'currant', 'cocoa', 'nib', 'freesia', 'orange', 'zest', 'fresh-cut', 'cedar', 'in', 'aroma', 'and', 'cup', 'high-toned', 'structure', 'with', 'phosphoric', 'acidity;', 'medium-weight', 'viscous', 'mouthfeell', 'the', 'lively', 'finish', 'leads', 'with', 'notes', 'of', 'black', 'currant', 'and', 'hints', 'of', 'spice-toned', 'florals']","Kiambu County, Kenya",19.95/12 ounces,Medium-Light,Durango Coffee Company,"Durango, Colorado",1.6625
30,Panama Finca Las Nubes Geisha Microlot,94,8.0,9,9,9,"['balanced', 'delicately', 'sweet-tart', 'dark', 'chocolate', 'magnolia', 'goji', 'berry', 'almond', 'brittle', 'blood', 'orange', 'in', 'aroma', 'and', 'cup', 'sweetly', 'tart', 'structure', 'with', 'vibrant', 'acidity;', 'crisp', 'silky-smooth', 'mouthfeel', 'the', 'pleasing', 'finish', 'centers', 'around', 'notes', 'of', 'dark', 'chocolate', 'and', 'goji', 'berry']","Boquete growing region, Panama",15.00/8 ounces,Medium-Light,Vermont Artisan Coffee & Tea,"Waterbury Center, Vermont",1.875
31,El Salvador El Mirador,93,8.0,9,9,9,"['rich-toned', 'deeply', 'sweet', 'salted', 'caramel', 'pomegranate', 'almond', 'butter', 'narcissus', 'pink', 'grapefruit', 'zest', 'in', 'aroma', 'and', 'cup', 'sweetly', 'savory', 'structure', 'with', 'citrusy', 'acidity;', 'plush', 'syrupy', 'mouthfeel', 'crisp', 'focused', 'finish', 'centered', 'around', 'notes', 'of', 'salted', 'caramel', 'and', 'almond']","Apaneca-Ilamatepec growing region, El Salvador",20.95/12 ounces,Medium-Light,Roadmap CoffeeWorks,"Lexington, Virginia",1.7458333333333331
32,Ethiopia Kayon Mountain,94,8.0,9,9,9,"['complex', 'multi-layered', 'cocoa', 'nib', 'meyer', 'lemon', 'marmalade', 'magnolia', 'hazelnut', 'maple', 'syrup', 'in', 'aroma', 'and', 'cup', 'brightly', 'sweet', 'structure', 'with', 'high-toned', 'acidity;', 'very', 'satiny', 'smooth', 'mouthfeel', 'crisp', 'finish', 'that', 'leads', 'with', 'notes', 'of', 'meyer', 'lemon', 'and', 'cocoa', 'nib']","Odo Shakiso District, Guji Zone, southern Ethiopia",20.95/12 ounces,Light,Roadmap CoffeeWorks,"Lexington, Virginia",1.7458333333333331
33,Katana DR Congo Natural,92,8.0,8,8,9,"['baking', 'chocolate', 'mulberry', 'squash', 'blossom', 'hazelnut', 'fresh-cut', 'oak', 'in', 'aroma', 'and', 'small', 'cup', 'crisp', 'velvety', 'mouthfeel', 'the', 'finish', 'consolidates', 'to', 'notes', 'of', 'baking', 'chocolate', 'and', 'roasted', 'squash', 'in', 'cappuccino', 'format', 'savory', 'notes', 'predominate', 'with', 'undertones', 'of', 'mulberry', 'and', 'baking', 'chocolate']","Kabare, South Kivu Province, Democratic Republic of the Congo",18.00/12 ounces,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin",1.5
34,El Venado Costa Rica Yellow Honey SL28,93,8.0,9,9,9,"['delicately', 'high-toned', 'balanced', 'pink', 'grapefruit', 'cocoa', 'nib', 'narcissus', 'lychee', 'a', 'hint', 'of', 'green', 'peppercorn', 'in', 'aroma', 'and', 'small', 'cup', 'richly', 'viscous', 'mouthfeel;', 'cocoa-toned', 'finish', 'with', 'a', 'hint', 'of', 'pink', 'grapefruit', 'in', 'cappuccino-scaled', 'milk', 'floral', 'and', 'cocoa', 'notes', 'take', 'center', 'stage', 'while', 'sweet', 'citrus', 'recedes']","West Valley growing region, Costa Rica",20.00/8 ounces,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin",2.5
35,Ka‘u Red Catuai Peaberry,94,8.0,9,9,9,"['cocoa-toned', 'delicately', 'sweet-tart', 'cocoa', 'nib', 'almond', 'nougat', 'cara', 'cara', 'orange', 'magnolia', 'lemon', 'thyme', 'in', 'aroma', 'and', 'small', 'cup', 'gently', 'bright', 'structure', 'with', 'juicy-sweet', 'acidity;', 'full', 'vibrant', 'mouthfeel', 'cocoa-', 'and', 'citrus-toned', 'finish']","Ka‘u growing region, Big Island of Hawai’i",30.00/4 ounces,Medium-Light,Paradise Roasters,"Hilo, Hawaii",7.5
36,Kabiufa Papua New Guinea,94,8.0,9,9,9,"['bright', 'juicy-sweet', 'dark', 'chocolate', 'goji', 'berry', 'fine', 'musk', 'almond', 'butter', 'cedar', 'in', 'aroma', 'and', 'small', 'cup', 'creamy-smooth', 'mouthfeel;', 'resonant', 'finish', 'consolidates', 'to', 'notes', 'of', 'goji', 'berry', 'and', 'almond', 'in', 'three', 'parts', 'milk', 'dark', 'chocolate', 'notes', 'are', 'amplified', 'while', 'dried', 'berry', 'notes', 'provide', 'sweet-tart', 'ballast']","Kabiufa, Eastern Highlands, Papua New Guinea",20.00/12 ounces,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin",1.6666666666666667
37,Cruz Loma,94,8.0,9,9,9,"['deeply', 'sweet', 'richly', 'fruit-toned', 'passion', 'fruit', 'ginger', 'flower', 'cocoa', 'nib', 'meyer', 'lemon', 'zest', 'hazelnut', 'in', 'aroma', 'and', 'cup', 'brightly', 'sweet', 'with', 'vibrant', 'juicy', 'acidity;', 'very', 'full', 'syrupy', 'mouthfeel', 'the', 'resonant', 'finish', 'centers', 'around', 'notes', 'of', 'cocoa-toned', 'ginger', 'flower']","San José de Minas, Pichincha Province, Ecuador",25.00/8 ounces,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin",3.125
38,Tio Conejo Colombia,94,8.0,9,9,9,"['nuanced', 'bright', 'multi-layered', 'richly', 'aromatic', 'tangerine', 'lilac', 'sage', 'bing', 'cherry', 'caramelized', 'walnut', 'in', 'aroma', 'and', 'cup', 'sweetly', 'bright', 'structure', 'with', 'vibrant', 'balanced', 'acidity;', 'lively', 'satiny-smooth', 'mouthfeel', 'the', 'resonant', 'finish', 'centers', 'around', 'notes', 'of', 'tangerine', 'and', 'sage']","Vereda Santa Rita, Manizales, Caldas, Colombia",18.00/8 ounces,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin",2.25
