,0
0,richly
1,aromatic
2,floral
3,magnolia
4,cocoa
5,nib
6,cane
7,sugar
8,red
9,plum
10,nutmeg
11,aroma
12,cup
13,elegantly
14,sweet
15,structure
16,delicate
17,bright
18,acidity
19,silky
20,vibrant
21,mouthfeel
22,flavor
23,saturated
24,finish
25,centered
26,around
27,notes
28,magnolia
29,cocoa
30,nib
31,complicated
32,undertones
33,nutmeg
34,delicately
35,aromatic
36,complex
37,lilac
38,cocoa
39,nib
40,pink
41,grapefruit
42,zest
43,shishito
44,pepper
45,apricot
46,aroma
47,cup
48,sweetly
49,tart
50,juicy
51,bright
52,acidity
53,plush
54,syrupy
55,smooth
56,mouthfeel
57,floral
58,finish
59,cocoa
60,undertones
61,fruit
62,driven
63,crisply
64,chocolaty
65,goji
66,berry
67,dried
68,plum
69,baking
70,chocolate
71,amber
72,narcissus
73,aroma
74,cup
75,crisply
76,sweet
77,structure
78,balanced
79,acidity
80,lightly
81,satiny
82,mouthfeel
83,fruit
84,finish
85,supported
86,notes
87,baking
88,chocolate
89,berry
90,driven
91,invitingly
92,sweet
93,tart
94,dried
95,mulberry
96,cocoa
97,nib
98,pink
99,grapefruit
100,zest
101,tea
102,rose
103,fresh
104,cut
105,oak
106,aroma
107,cup
108,sweet
109,structure
110,brisk
111,acidity
112,plush
113,syrupy
114,mouthfeel
115,long
116,lingering
117,finish
118,consolidates
119,notes
120,cocoa
121,mulberry
122,oak
123,crisply
124,sweet
125,tart
126,richly
127,nut
128,pomegranate
129,baking
130,chocolate
131,hazelnut
132,lime
133,zest
134,cedar
135,aroma
136,cup
137,sweet
138,tart
139,structure
140,gently
141,bright
142,balanced
143,acidity
144,crisp
145,satiny
146,mouthfeel
147,quiet
148,finish
149,centered
150,around
151,sweet
152,nut
153,chocolate
154,tones
155,intricate
156,vibrantly
157,floral
158,citrusy
159,lilac
160,tangerine
161,almond
162,brittle
163,sage
164,wild
165,honey
166,aroma
167,cup
168,high
169,harmonious
170,structure
171,elegantly
172,juicy
173,acidity
174,full
175,creamy
176,mouthfeel
177,flavor
178,saturated
179,long
180,finish
181,massively
182,floral
183,juicy
184,cocoa
185,distinct
186,cocoa
187,honeysuckle
188,tangerine
189,caramel
190,cashew
191,aroma
192,cup
193,deeply
194,sweet
195,savory
196,edged
197,structure
198,deep
199,vibrant
200,acidity
201,full
202,syrupy
203,mouthfeel
204,finish
205,sweet
206,rich
207,carrying
208,notes
209,cup
210,far
211,long
212,gently
213,tart
214,sweetly
215,herbaceous
216,orange
217,zest
218,pomegranate
219,cocoa
220,nib
221,goat
222,milk
223,yogurt
224,cedar
225,aroma
226,cup
227,sweet
228,tart
229,structure
230,tangy
231,acidity
232,full
233,syrupy
234,smooth
235,mouthfeel
236,gently
237,drying
238,finish
239,centers
240,around
241,notes
242,orange
243,zest
244,cedar
245,sweetly
246,tart
247,chocolaty
248,pomegranate
249,baking
250,chocolate
251,orange
252,zest
253,almond
254,oak
255,aroma
256,cup
257,tart
258,leaning
259,structure
260,brisk
261,acidity
262,plush
263,chewy
264,mouthfeel
265,crisply
266,chocolaty
267,finish
268,undertones
269,pomegranate
270,almond
271,richly
272,chocolaty
273,sweetly
274,tart
275,nectarine
276,dark
277,chocolate
278,lemon
