,0
0,intricate
1,vibrantly
2,floral
3,citrusy
4,lilac
5,tangerine
6,almond
7,brittle
8,sage
9,wild
10,honey
11,aroma
12,cup
13,high
14,harmonious
15,structure
16,elegantly
17,juicy
18,acidity
19,full
20,creamy
21,mouthfeel
22,flavor
23,saturated
24,long
25,finish
26,massively
27,floral
28,juicy
29,cocoa
30,distinct
31,cocoa
32,honeysuckle
33,tangerine
34,caramel
35,cashew
36,aroma
37,cup
38,deeply
39,sweet
40,savory
41,edged
42,structure
43,deep
44,vibrant
45,acidity
46,full
47,syrupy
48,mouthfeel
49,finish
50,sweet
51,rich
52,carrying
53,notes
54,cup
55,far
56,long
57,richly
58,sweet
59,tart
60,floral
61,fruit
62,driven
63,mango
64,cocoa
65,nib
66,ginger
67,blossom
68,lime
69,zest
70,cedar
71,aroma
72,cup
73,balanced
74,tart
75,leaning
76,structure
77,vibrant
78,juicy
79,acidity
80,lightly
81,viscous
82,silky
83,mouthfeel
84,long
85,flavor
86,saturated
87,finish
88,centered
89,around
90,fruit
91,florals
92,high
93,chocolaty
94,richly
95,aromatic
96,malted
97,chocolate
98,black
99,cherry
100,cashew
101,butter
102,pink
103,grapefruit
104,toffee
105,aroma
106,cup
107,brightly
108,sweet
109,structure
110,lively
111,restrained
112,acidity
113,plush
114,creamy
115,mouthfeel
116,integrated
117,finish
118,carries
119,aroma
120,flavor
121,notes
122,cup
123,richly
124,sweet
125,floral
126,fruit
127,apricot
128,star
129,jasmine
130,almond
131,nougat
132,lemon
133,balm
134,sandalwood
135,aroma
136,cup
137,sweetly
138,tart
139,structure
140,delicately
141,bright
142,acidity
143,plush
144,syrupy
145,mouthfeel
146,long
147,lingering
148,flavor
149,laden
150,finish
151,elegantly
152,fruit
153,juicy
154,ripe
155,peach
156,dark
157,chocolate
158,blueberry
159,jam
160,almond
161,butter
162,hint
163,wine
164,barrel
165,aroma
166,cup
167,sweetly
168,tart
169,structure
170,bright
171,malic
172,acidity
173,smooth
174,syrupy
175,mouthfeel
176,integrated
177,harmonious
178,long
179,finish
180,sweetly
181,tart
182,fruit
183,driven
184,chocolaty
185,berry
186,melange
187,dark
188,chocolate
189,freesia
190,flowers
191,cedar
192,pink
193,peppercorn
194,aroma
195,cup
196,brightly
197,sweet
198,vibrant
199,high
200,acidity
201,lively
202,syrupy
203,mouthfeel
204,long
205,lingering
206,flavor
207,saturated
208,finish
209,juicy
210,bright
211,deep
212,complexly
213,layered
214,vibrantly
